output_area,ethnicity,0,15,30,65
100100,European,142,82,344,187
100200,European,290,182,455,200
100400,European,105,57,331,222
100500,European,126,84,243,94
100600,European,128,89,284,128
100700,European,213,180,351,187
100800,European,326,245,455,333
100900,European,97,87,235,102
101000,European,100,56,240,93
101100,European,211,129,616,574
101200,European,101,59,233,101
101300,European,122,87,338,119
101400,European,94,55,256,117
101500,European,90,45,208,102
101600,European,32,20,67,42
101700,European,62,40,159,92
101800,European,111,93,320,194
101900,European,133,96,265,138
102000,European,93,61,181,71
102100,European,90,59,249,147
102200,European,341,231,794,312
102300,European,170,137,365,119
102400,European,206,126,520,223
102500,European,148,106,277,93
102600,European,265,190,649,240
102700,European,73,38,120,42
102800,European,323,186,729,492
102900,European,100,70,295,208
103000,European,282,240,552,710
103100,European,352,255,914,594
103200,European,132,99,300,153
103300,European,185,153,548,293
103400,European,112,148,347,92
103500,European,332,192,426,219
103600,European,96,57,229,75
103700,European,133,78,337,207
103800,European,80,66,350,309
103900,European,160,346,813,558
104000,European,51,29,83,17
104100,European,123,80,244,113
104200,European,47,38,250,206
104300,European,88,72,432,316
104400,European,37,37,119,79
104500,European,92,57,99,45
104600,European,120,75,207,70
104700,European,127,68,183,59
104800,European,266,200,534,129
104900,European,336,254,809,318
105100,European,551,346,1159,368
105200,European,232,176,337,111
105300,European,292,180,669,260
105400,European,599,373,1292,458
105500,European,321,229,609,400
105600,European,233,163,681,322
105700,European,178,80,378,101
105800,European,371,315,575,214
105900,European,333,271,759,840
106000,European,269,207,462,183
106100,European,312,291,732,525
106200,European,342,257,517,512
106300,European,309,215,783,347
106400,European,126,89,173,121
106500,European,512,394,881,549
106600,European,311,355,940,611
106700,European,218,154,520,194
106800,European,251,259,592,552
106900,European,406,339,863,679
107000,European,287,307,705,351
107100,European,97,118,276,147
107200,European,240,253,672,301
107300,European,357,310,541,199
107400,European,218,176,302,82
107500,European,259,268,524,200
107600,European,202,94,426,210
107700,European,189,152,434,145
107800,European,341,267,944,280
108000,European,347,184,664,176
108100,European,208,168,454,334
108200,European,313,295,632,347
108300,European,285,233,634,377
108500,European,384,185,932,531
108600,European,336,218,751,291
108700,European,310,168,718,489
108800,European,315,239,700,408
108900,European,203,99,556,315
109100,European,486,359,1164,520
109200,European,296,219,655,242
109300,European,497,436,1024,915
109400,European,324,245,844,371
109500,European,267,202,604,329
109600,European,216,176,363,192
109700,European,292,207,694,279
109800,European,316,173,913,384
109900,European,258,151,664,587
110100,European,143,71,275,269
110200,European,232,168,550,176
110400,European,567,390,1351,572
110500,European,307,235,524,248
110700,European,432,282,964,308
110800,European,375,253,822,169
110900,European,268,151,656,293
111100,European,332,288,725,711
111200,European,627,485,1611,519
111300,European,427,364,950,658
111400,European,117,111,407,293
111500,European,244,167,807,547
111600,European,488,340,1021,229
111700,European,481,329,1133,878
111800,European,131,84,362,191
111900,European,116,82,430,447
112100,European,256,229,689,251
112200,European,176,116,334,137
112300,European,258,220,634,156
112400,European,470,346,865,321
112500,European,259,267,645,160
112600,European,299,241,735,188
112700,European,425,376,1104,1368
112800,European,252,239,620,191
112900,European,294,235,772,1213
113000,European,241,257,985,1098
113100,European,634,360,1164,303
113200,European,250,197,569,112
113300,European,382,220,607,110
113400,European,231,302,653,160
113500,European,224,205,589,174
113600,European,386,346,769,228
113900,European,281,214,595,679
114000,European,604,546,1455,817
114100,European,310,287,888,199
114200,European,225,177,533,142
114400,European,443,405,972,532
114500,European,221,136,573,93
114600,European,530,401,965,239
