area,latitude,longitude
100100,-34.50545276,172.77554997
100200,-34.91627744,173.13744282
100400,-34.99527816,173.37873836
100500,-35.12314727,173.21860407
100600,-35.15951697,173.16091938
100700,-35.10383477,173.26414302
100800,-35.1217817,173.26717397
100900,-35.12785001,173.3112224
101000,-35.03331749,173.46127559
101100,-34.99672682,173.50774402
101200,-35.18964254,173.37240745
101300,-35.12407747,173.44813792
101400,-35.02535123,173.57890377
101500,-35.04987698,173.66299855
101600,-35.36850897,173.33840098
101700,-35.29006863,173.46362668
101800,-35.0629133,173.84991312
101900,-35.15410315,173.74331968
102000,-35.28834375,173.61780248
102100,-35.46801387,173.48438703
102200,-35.18267324,173.86535013
102300,-35.28661159,173.79081555
102400,-35.13418331,173.9391431
102500,-35.2099338,173.91841396
102600,-35.2517628,173.90330753
102700,-35.48716638,173.62952632
102800,-35.20805962,173.9624342
102900,-35.58128435,173.51134902
103000,-35.22507309,173.95096304
103100,-35.24639884,173.9577874
103200,-35.33520904,173.85992372
103300,-35.27991822,174.00095246
103400,-35.4228326,173.76534835
103500,-35.40792422,173.79767516
103600,-35.36746635,173.98446287
103700,-35.27932636,174.05921268
103800,-35.25653762,174.12446613
103900,-35.28609895,174.09311792
104000,-35.54715526,173.80536516
104100,-35.49406405,173.95266307
104200,-35.28679106,174.16228184
104300,-35.32270229,174.10002605
104400,-35.36879174,174.22606034
104500,-35.38372176,174.02517066
104600,-35.37897674,174.07575504
104700,-35.47825535,174.1413276
104800,-35.65301955,174.0023164
104900,-35.48991999,174.3350113
105100,-35.66728748,174.20987157
105200,-35.5944828,174.28716175
105300,-35.62944367,174.28665672
105400,-35.76206371,174.15473729
105500,-35.67006476,174.29507452
105600,-35.59792832,174.47802227
105700,-35.64674958,174.40287423
105800,-35.67747272,174.30980246
105900,-35.69015065,174.29505823
106000,-35.68486255,174.30491552
106100,-35.70520079,174.29580182
106200,-35.68085136,174.32304772
106300,-35.74644668,174.25502298
106400,-35.69329776,174.31769963
106500,-35.69457731,174.33166497
106600,-35.71310137,174.30833235
106700,-35.70399025,174.36122936
106800,-35.70451425,174.32430453
106900,-35.73757136,174.29037127
107000,-35.727035,174.30955264
107100,-35.72846995,174.32430322
107200,-35.72599375,174.33964555
107300,-35.74968804,174.29896302
107400,-35.7418305,174.30903757
107500,-35.73638776,174.32005673
107600,-35.62462501,174.51474389
107700,-35.78104758,174.2857558
107800,-35.89588695,174.21595621
108000,-35.69695195,174.42794425
108100,-35.75246425,174.37259829
108200,-35.7486834,174.3618074
108300,-35.76617497,174.363527
108500,-35.76001844,174.42812257
108600,-35.91496801,174.38390319
108700,-35.84344323,174.48686898
108800,-35.87869623,174.45727498
108900,-35.81913112,174.53591875
109100,-35.72900181,173.65124289
109200,-35.87696287,173.97089153
109300,-35.93920158,173.86524045
109400,-36.08477059,174.14649781
109500,-36.20622411,174.32331996
109600,-36.10952458,174.34693916
109700,-36.20144738,174.41954369
109800,-36.11738276,174.54557961
109900,-36.09442027,174.58406666
110100,-36.12486297,174.57648718
110200,-36.31614337,174.47831639
110400,-36.25433822,174.62638047
110500,-36.2928483,174.52152782
110700,-36.59353204,174.31227374
110800,-36.46348663,174.48881947
110900,-36.34097815,174.68669921
111100,-36.38893228,174.65160073
111200,-36.46850912,174.62475233
111300,-36.40528692,174.66791942
111400,-36.39777901,174.69854725
111500,-36.36596181,174.79183013
111600,-36.60344402,174.48396116
111700,-36.42024184,174.72518871
111800,-36.20109801,175.42316367
111900,-36.45696537,174.74610372
112100,-36.58514355,174.56341509
112200,-36.65763462,174.43599289
112300,-36.64952348,174.4986995
112400,-36.67496915,174.45425272
112500,-36.63734759,174.58423463
112600,-36.70989198,174.51574111
112700,-36.58108865,174.67586463
112800,-36.57001949,174.68935557
112900,-36.59013546,174.685784
113000,-36.58726477,174.6944528
113100,-36.6014983,174.67227556
113200,-36.77908114,174.42070067
113300,-36.61231012,174.67000848
113400,-36.6446947,174.65374224
113500,-36.67100483,174.61891208
113600,-36.60606427,174.68651435
113900,-36.61127031,174.69545963
114000,-36.60592118,174.70488989
114100,-36.62799753,174.69160348
114200,-36.7805997,174.46444508
114400,-36.61796366,174.7180399
114500,-36.82525102,174.42922639
114600,-36.62300197,174.72724226
114700,-36.79039063,174.52133836
114800,-36.66711378,174.70992257
114900,-36.63661523,174.73358327
115000,-36.76998293,174.54286666
115100,-36.6293262,174.74176363
115200,-36.63336524,174.75300037
115300,-36.8197327,174.47032818
115400,-36.61663904,174.77704003
115500,-36.72270876,174.64336292
115600,-36.6956027,174.67916408
115700,-36.60949658,174.79413674
115800,-36.63338986,174.76128799
115900,-36.75810331,174.58371179
116000,-36.60509803,174.82325733
116100,-36.77658085,174.57456886
116200,-36.62319574,174.79598006
116300,-36.75507226,174.61584322
116400,-36.82164682,174.5542496
116500,-36.68946348,174.73306962
116600,-36.74982031,174.66020526
116700,-36.71796472,174.69401393
116800,-36.69990012,174.72732927
116900,-36.71007322,174.71678985
117000,-36.79162758,174.62143068
117100,-36.89876888,174.50001
