area,socioeconomic_centile,super_area
100100,10.0,1
100200,9.0,1
100400,8.0,1
100500,9.0,1
100600,9.0,1
100700,10.0,1
100800,10.0,1
100900,8.0,1
101000,9.0,1
101100,8.0,1
101200,10.0,1
101300,10.0,1
101400,9.0,1
101500,9.0,1
101600,10.0,1
101700,10.0,1
101800,10.0,1
101900,10.0,1
102000,10.0,1
102100,10.0,1
102200,4.0,1
102300,8.0,1
102400,7.0,1
102500,5.0,1
102600,4.0,1
102700,10.0,1
102800,4.0,1
102900,10.0,1
103000,9.0,1
103100,4.0,1
103200,7.0,1
103300,5.0,1
103400,10.0,1
103500,10.0,1
103600,7.0,1
103700,7.0,1
103800,5.0,1
103900,9.0,1
104000,10.0,1
104100,10.0,1
104200,6.0,1
104300,6.0,1
104400,10.0,1
104500,10.0,1
104600,10.0,1
104700,9.0,1
104800,9.0,1
104900,9.0,1
105100,2.0,1
105200,10.0,1
105300,2.0,1
105400,3.0,1
105500,6.0,1
105600,4.0,1
105700,5.0,1
105800,9.0,1
105900,6.0,1
106000,8.0,1
106100,8.0,1
106200,10.0,1
106300,1.0,1
106400,10.0,1
106500,9.0,1
106600,8.0,1
106700,1.0,1
106800,9.0,1
106900,6.0,1
107000,9.0,1
107100,10.0,1
107200,6.0,1
107300,10.0,1
107400,10.0,1
107500,9.0,1
107600,6.0,1
107700,5.0,1
107800,5.0,1
108000,4.0,1
108100,6.0,1
108200,9.0,1
108300,9.0,1
108500,3.0,1
108600,6.0,1
108700,4.0,1
108800,9.0,1
108900,4.0,1
109100,9.0,1
109200,7.0,1
109300,9.0,1
109400,9.0,1
109500,7.0,1
109600,7.0,1
109700,8.0,1
109800,4.0,1
109900,5.0,1
110100,6.0,1
110200,6.0,2
110400,4.0,2
110500,8.0,2
110700,5.0,2
110800,5.0,2
110900,3.0,2
111100,4.0,2
111200,2.0,2
111300,5.0,2
111400,1.0,2
111500,2.0,2
111600,2.0,2
111700,5.0,2
111800,9.0,2
111900,3.0,2
112100,3.0,2
112200,8.0,2
112300,3.0,2
112400,6.0,2
112500,2.0,2
112600,1.0,2
112700,2.0,2
112800,3.0,2
112900,5.0,2
113000,6.0,2
113100,1.0,2
113200,4.0,2
113300,1.0,2
113400,4.0,2
113500,2.0,2
113600,2.0,2
113900,5.0,2
114000,3.0,2
114100,2.0,2
114200,1.0,2
114400,4.0,2
114500,2.0,2
114600,4.0,2
114700,4.0,2
114800,1.0,2
114900,3.0,2
115000,1.0,2
115100,5.0,2
115200,4.0,2
115300,2.0,2
115400,2.0,2
115500,1.0,2
115600,2.0,2
115700,2.0,2
115800,4.0,2
115900,1.0,2
116000,3.0,2
116100,4.0,2
116200,3.0,2
116300,2.0,2
116400,3.0,2
116500,1.0,2
116600,5.0,2
116700,3.0,2
116800,2.0,2
116900,4.0,2
117000,4.0,2
117100,2.0,2
117200,2.0,2
117300,7.0,2
117400,4.0,2
117500,3.0,2
117600,4.0,2
117700,3.0,2
117800,5.0,2
117900,2.0,2
118000,3.0,2
118100,3.0,2
118200,3.0,2
118300,4.0,2
118400,2.0,2
118500,4.0,2
118600,6.0,2
118700,3.0,2
118900,1.0,2
119000,2.0,2
119100,1.0,2
119200,3.0,2
119400,2.0,2
119500,2.0,2
119600,7.0,2
119700,4.0,2
119800,8.0,2
119900,2.0,2
120000,1.0,2
120100,4.0,2
120200,1.0,2
120300,2.0,2
120400,4.0,2
120500,3.0,2
120600,8.0,2
120700,2.0,2
120800,1.0,2
120900,7.0,2
121000,5.0,2
121100,2.0,2
121200,5.0,2
121300,5.0,2
121400,4.0,2
121500,5.0,2
121600,6.0,2
121700,6.0,2
121800,3.0,2
121900,6.0,2
122000,5.0,2
122100,4.0,2
122200,1.0,2
122300,8.0,2
122400,8.0,2
122500,9.0,2
122600,5.0,2
122700,5.0,2
122800,5.0,2
122900,8.0,2
123000,9.0,2
123100,6.0,2
123200,5.0,2
123300,5.0,2
123400,4.0,2
123600,4.0,2
123700,1.0,2
123800,9.0,2
123900,2.0,2
124000,5.0,2
124100,3.0,2
124200,8.0,2
124300,9.0,2
124400,4.0,2
124500,7.0,2
124600,7.0,2
124700,2.0,2
124800,6.0,2
124900,9.0,2
125000,7.0,2
125200,2.0,2
125300,3.0,2
125400,5.0,2
125500,5.0,2
125600,6.0,2
125700,8.0,2
125800,3.0,2
125900,2.0,2
126000,3.0,2
126100,3.0,2
126200,3.0,2
126300,2.0,2
126400,8.0,2
126500,4.0,2
126600,5.0,2
126700,8.0,2
126800,3.0,2
126900,4.0,2
127000,6.0,2
127100,10.0,2
127200,8.0,2
127300,3.0,2
127400,1.0,2
127500,10.0,2
127600,2.0,2
127700,7.0,2
127800,9.0,2
127900,8.0,2
128000,4.0,2
128100,3.0,2
128200,2.0,2
128300,9.0,2
128400,8.0,2
128500,7.0,2
128600,2.0,2
128800,2.0,2
128900,8.0,2
129000,9.0,2
129100,7.0,2
129200,3.0,2
129300,4.0,2
129400,4.0,2
129500,8.0,2
129600,8.0,2
129700,1.0,2
129800,2.0,2
129900,3.0,2
130000,2.0,2
130100,7.0,2
130200,3.0,2
130300,3.0,2
130400,4.0,2
130500,8.0,2
130600,8.0,2
130700,2.0,2
130800,8.0,2
130900,7.0,2
131000,9.0,2
131100,8.0,2
131200,3.0,2
131300,2.0,2
131400,1.0,2
131500,7.0,2
131600,3.0,2
131700,9.0,2
131800,4.0,2
131900,6.0,2
132000,7.0,2
132100,6.0,2
132200,6.0,2
132300,8.0,2
132400,6.0,2
132500,3.0,2
132600,8.0,2
132700,7.0,2
132800,3.0,2
132900,7.0,2
133000,2.0,2
133100,8.0,2
133200,7.0,2
133300,7.0,2
133400,9.0,2
133500,3.0,2
133600,4.0,2
133700,6.0,2
133800,8.0,2
133900,8.0,2
134000,1.0,2
134100,8.0,2
134200,4.0,2
134300,4.0,2
134400,5.0,2
134500,6.0,2
134600,1.0,2
134700,3.0,2
134900,8.0,2
135000,7.0,2
135100,9.0,2
135200,3.0,2
135300,9.0,2
135400,3.0,2
135500,9.0,2
135600,8.0,2
135700,7.0,2
135800,7.0,2
135900,8.0,2
136000,4.0,2
