super_area,area,region
1,100100,North Island
1,100200,North Island
1,100600,North Island
1,100400,North Island
1,101000,North Island
1,101300,North Island
1,101100,North Island
1,101400,North Island
1,101200,North Island
1,100500,North Island
1,100900,North Island
1,100800,North Island
1,100700,North Island
1,101500,North Island
1,101900,North Island
1,101800,North Island
1,102000,North Island
1,102700,North Island
1,102100,North Island
1,102900,North Island
14,354100,South Island
1,101700,North Island
1,101600,North Island
1,102300,North Island
3,177800,North Island
1,102600,North Island
1,103200,North Island
1,103300,North Island
1,103600,North Island
1,103400,North Island
1,104100,North Island
1,103500,North Island
1,104000,North Island
1,102500,North Island
1,102200,North Island
1,102400,North Island
1,103000,North Island
1,102800,North Island
1,104700,North Island
14,354200,South Island
1,104400,North Island
1,104200,North Island
1,103100,North Island
3,181200,North Island
1,103700,North Island
14,353500,South Island
1,104300,North Island
1,104500,North Island
1,105900,North Island
1,103900,North Island
1,105300,North Island
1,103800,North Island
1,104600,North Island
1,104900,North Island
1,106700,North Island
1,105600,North Island
1,105200,North Island
1,105500,North Island
1,104800,North Island
1,105100,North Island
1,106900,North Island
1,106300,North Island
3,178000,North Island
1,105400,North Island
1,106500,North Island
1,108100,North Island
1,108000,North Island
1,108500,North Island
1,105800,North Island
1,108900,North Island
1,107700,North Island
1,106000,North Island
1,107800,North Island
1,109200,North Island
1,108600,North Island
1,108700,North Island
1,108800,North Island
1,106200,North Island
1,108300,North Island
1,106100,North Island
1,106800,North Island
1,106600,North Island
1,106400,North Island
1,107100,North Island
1,107000,North Island
1,107200,North Island
1,107500,North Island
1,107300,North Island
1,107400,North Island
1,108200,North Island
2,135400,North Island
1,109300,North Island
2,132900,North Island
1,109100,North Island
1,109400,North Island
1,109500,North Island
1,109600,North Island
1,109700,North Island
1,109900,North Island
1,109800,North Island
2,110400,North Island
2,110200,North Island
2,111500,North Island
2,110900,North Island
2,111100,North Island
2,111400,North Island
2,111700,North Island
2,111300,North Island
2,111900,North Island
2,110500,North Island
2,111200,North Island
2,110800,North Island
2,122200,North Island
2,122600,North Island
2,120800,North Island
2,119700,North Island
2,121300,North Island
2,120500,North Island
2,119500,North Island
2,120000,North Island
2,118500,North Island
2,118700,North Island
2,119000,North Island
4,194000,North Island
2,118200,North Island
2,118300,North Island
2,117700,North Island
2,117900,North Island
1,107600,North Island
2,117500,North Island
2,116800,North Island
2,117200,North Island
2,112100,North Island
3,177200,North Island
2,112800,North Island
2,113000,North Island
2,112700,North Island
2,112900,North Island
2,113600,North Island
2,114000,North Island
2,114400,North Island
2,114600,North Island
2,115100,North Island
2,114900,North Island
2,115200,North Island
1,105700,North Island
2,115400,North Island
2,115800,North Island
2,115700,North Island
2,116200,North Island
2,113400,North Island
2,114100,North Island
2,114800,North Island
2,112500,North Island
2,116700,North Island
2,116900,North Island
2,117600,North Island
2,117800,North Island
2,116600,North Island
2,117400,North Island
2,118400,North Island
2,118100,North Island
2,121900,North Island
2,119900,North Island
2,120400,North Island
2,119100,North Island
2,119400,North Island
2,118900,North Island
2,121500,North Island
2,121000,North Island
3,178300,North Island
2,121400,North Island
2,122100,North Island
2,123100,North Island
2,123300,North Island
2,124400,North Island
2,125200,North Island
2,121200,North Island
2,123400,North Island
2,123600,North Island
14,353300,South Island
2,122700,North Island
2,153400,North Island
2,124000,North Island
2,124600,North Island
4,194600,North Island
2,126200,North Island
2,153800,North Island
14,355300,South Island
3,180900,North Island
2,125600,North Island
2,125800,North Island
2,126500,North Island
2,127300,North Island
2,112400,North Island
2,110700,North Island
2,112200,North Island
2,112300,North Island
2,111600,North Island
2,116300,North Island
2,115900,North Island
2,116100,North Island
2,115000,North Island
2,114700,North Island
2,114200,North Island
2,118000,North Island
2,113500,North Island
2,115500,North Island
2,112600,North Island
2,113200,North Island
2,117000,North Island
2,114500,North Island
2,115300,North Island
2,116400,North Island
2,120200,North Island
2,120300,North Island
2,119800,North Island
2,120700,North Island
3,180400,North Island
2,121600,North Island
2,119600,North Island
2,120900,North Island
2,122300,North Island
2,122500,North Island
2,120600,North Island
2,122900,North Island
1,110100,North Island
4,196000,North Island
3,170000,North Island
2,125700,North Island
2,124900,North Island
2,124300,North Island
2,122000,North Island
2,123000,North Island
2,123800,North Island
2,125000,North Island
2,136500,North Island
2,126100,North Island
2,126000,North Island
2,121100,North Island
2,120100,North Island
2,124200,North Island
2,126700,North Island
2,127900,North Island
2,127800,North Island
2,127500,North Island
2,128400,North Island
2,124500,North Island
2,125300,North Island
2,123200,North Island
2,124800,North Island
2,127000,North Island
2,126400,North Island
2,128500,North Island
2,127700,North Island
4,196400,North Island
2,134900,North Island
2,133900,North Island
2,132300,North Island
2,135600,North Island
2,130500,North Island
3,170300,North Island
2,132600,North Island
2,131000,North Island
2,129500,North Island
2,128900,North Island
2,129100,North Island
14,355700,South Island
3,179300,North Island
2,128300,North Island
2,124100,North Island
2,129000,North Island
3,180500,North Island
2,129600,North Island
2,113900,North Island
2,130000,North Island
2,127600,North Island
2,124700,North Island
2,126900,North Island
2,128000,North Island
2,130100,North Island
2,130900,North Island
2,130800,North Island
2,131500,North Island
2,116000,North Island
2,137300,North Island
2,138000,North Island
2,115600,North Island
2,134700,North Island
2,136700,North Island
2,132500,North Island
2,134600,North Island
2,137500,North Island
2,126600,North Island
2,125500,North Island
2,125400,North Island
2,126800,North Island
2,125900,North Island
2,123700,North Island
2,129400,North Island
2,129300,North Island
2,130700,North Island
2,116500,North Island
2,128800,North Island
2,128600,North Island
2,134000,North Island
2,133000,North Island
2,131400,North Island
2,121800,North Island
2,122400,North Island
2,123900,North Island
2,122800,North Island
2,126300,North Island
2,127400,North Island
3,180300,North Island
2,128200,North Island
2,127100,North Island
2,127200,North Island
2,128100,North Island
2,138900,North Island
2,139500,North Island
2,137200,North Island
2,138600,North Island
2,138300,North Island
2,136600,North Island
2,137100,North Island
2,135000,North Island
2,132000,North Island
2,131100,North Island
2,131700,North Island
2,133100,North Island
2,130600,North Island
2,117100,North Island
2,119200,North Island
2,129200,North Island
2,132200,North Island
2,129900,North Island
2,130300,North Island
2,129800,North Island
2,131600,North Island
2,132100,North Island
2,133600,North Island
2,132800,North Island
2,133500,North Island
2,134300,North Island
2,136000,North Island
2,131800,North Island
2,134400,North Island
2,129700,North Island
2,130200,North Island
2,130400,North Island
2,131200,North Island
2,132400,North Island
2,133300,North Island
2,132700,North Island
2,133200,North Island
2,133800,North Island
2,134100,North Island
2,135300,North Island
2,135100,North Island
2,133700,North Island
2,134500,North Island
2,111800,North Island
2,136100,North Island
2,131300,North Island
2,137700,North Island
2,138700,North Island
2,140200,North Island
2,140800,North Island
2,139900,North Island
2,138500,North Island
2,136400,North Island
2,137400,North Island
2,140000,North Island
2,142400,North Island
2,141900,North Island
2,143200,North Island
2,143700,North Island
3,171500,North Island
2,143900,North Island
2,144500,North Island
2,143500,North Island
2,145100,North Island
2,144700,North Island
2,145800,North Island
2,139400,North Island
2,146300,North Island
2,140500,North Island
2,141600,North Island
2,141000,North Island
2,143100,North Island
2,142200,North Island
2,139200,North Island
2,140100,North Island
2,141800,North Island
2,141100,North Island
2,142700,North Island
2,143000,North Island
2,144000,North Island
2,146900,North Island
2,148700,North Island
2,151100,North Island
2,147600,North Island
2,151700,North Island
2,136800,North Island
2,135500,North Island
2,135200,North Island
2,131900,North Island
2,134200,North Island
2,136200,North Island
2,136300,North Island
2,135800,North Island
2,138200,North Island
2,137000,North Island
2,137600,North Island
2,137800,North Island
2,136900,North Island
2,138400,North Island
2,139000,North Island
2,138100,North Island
2,139300,North Island
2,141200,North Island
2,139700,North Island
2,140600,North Island
2,141700,North Island
2,142600,North Island
2,141500,North Island
2,142000,North Island
2,142900,North Island
2,144100,North Island
2,143600,North Island
3,179600,North Island
2,142100,North Island
2,118600,North Island
2,137900,North Island
2,139100,North Island
2,140400,North Island
2,140700,North Island
2,139800,North Island
2,139600,North Island
2,140900,North Island
2,141300,North Island
2,142300,North Island
2,142500,North Island
2,142800,North Island
2,144300,North Island
2,143400,North Island
2,145000,North Island
2,145500,North Island
2,145200,North Island
2,145600,North Island
2,144400,North Island
2,144800,North Island
