geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
100100,222,57,9,0,0,0,0,6,471,2018,100100,Total
100200,417,66,24,0,0,0,0,0,771,2018,100200,Total
100400,174,36,6,0,0,0,0,0,345,2018,100400,Total
100500,213,30,0,0,0,0,0,0,396,2018,100500,Total
100600,207,30,6,0,0,0,0,0,339,2018,100600,Total
100700,267,45,27,0,0,0,0,0,540,2018,100700,Total
100800,501,42,33,0,0,0,0,0,792,2018,100800,Total
100900,168,27,6,0,0,0,0,0,315,2018,100900,Total
101000,99,9,0,0,0,0,0,0,225,2018,101000,Total
101100,291,39,18,0,0,0,0,0,567,2018,101100,Total
101200,135,21,6,0,0,0,0,0,288,2018,101200,Total
101300,138,12,0,0,0,0,0,0,294,2018,101300,Total
101400,75,9,6,0,0,0,0,0,201,2018,101400,Total
101500,66,6,0,0,0,0,0,0,186,2018,101500,Total
101600,39,0,0,0,0,0,0,0,126,2018,101600,Total
101700,30,6,0,0,0,0,0,0,141,2018,101700,Total
101800,174,0,0,0,0,0,0,0,381,2018,101800,Total
101900,180,9,9,0,0,0,0,0,351,2018,101900,Total
102000,78,0,0,0,0,0,0,0,207,2018,102000,Total
102100,114,12,0,0,0,0,0,0,261,2018,102100,Total
102200,468,81,12,0,0,0,0,0,858,2018,102200,Total
102300,213,18,0,0,0,0,0,0,429,2018,102300,Total
102400,261,33,0,0,0,0,0,0,471,2018,102400,Total
102500,150,27,9,0,0,0,0,0,315,2018,102500,Total
102600,330,63,12,0,0,0,0,0,672,2018,102600,Total
102700,90,0,0,0,0,0,0,0,183,2018,102700,Total
102800,390,84,12,0,0,0,0,0,699,2018,102800,Total
102900,141,9,9,0,0,0,0,0,297,2018,102900,Total
103000,369,48,9,0,0,0,0,0,705,2018,103000,Total
103100,486,111,18,0,0,6,0,0,933,2018,103100,Total
103200,201,45,0,0,0,0,0,0,414,2018,103200,Total
103300,204,24,6,0,0,0,0,6,456,2018,103300,Total
103400,171,24,12,0,0,0,0,0,354,2018,103400,Total
103500,585,39,33,0,0,0,0,0,903,2018,103500,Total
103600,93,9,0,0,0,0,0,0,204,2018,103600,Total
103700,192,15,9,0,0,0,0,0,336,2018,103700,Total
103800,84,12,6,0,0,0,0,0,267,2018,103800,Total
103900,189,30,0,0,0,0,0,0,567,2018,103900,Total
104000,36,0,0,0,0,0,0,6,108,2018,104000,Total
104100,189,15,6,0,0,0,0,0,372,2018,104100,Total
104200,78,0,0,0,0,0,0,0,171,2018,104200,Total
104300,237,15,0,0,0,0,0,0,369,2018,104300,Total
104400,66,0,0,0,0,0,0,0,150,2018,104400,Total
104500,198,0,15,0,0,0,0,0,306,2018,104500,Total
104600,216,15,9,0,0,0,0,0,354,2018,104600,Total
104700,30,0,0,0,0,0,0,6,201,2018,104700,Total
104800,249,30,0,0,0,0,0,24,666,2018,104800,Total
104900,393,42,0,0,0,0,0,6,858,2018,104900,Total
105100,735,147,21,0,0,0,0,0,1254,2018,105100,Total
105200,285,24,0,0,0,0,0,0,435,2018,105200,Total
105300,354,105,6,0,0,0,0,6,684,2018,105300,Total
105400,816,150,15,0,0,0,0,12,1533,2018,105400,Total
105500,432,87,0,9,0,0,0,0,702,2018,105500,Total
105600,303,63,6,0,0,0,0,0,603,2018,105600,Total
105700,204,33,0,0,0,0,0,0,366,2018,105700,Total
105800,573,60,15,0,0,0,0,0,861,2018,105800,Total
105900,618,108,27,9,0,0,0,0,1029,2018,105900,Total
106000,315,63,15,0,0,0,0,0,516,2018,106000,Total
106100,609,90,21,0,0,0,0,0,957,2018,106100,Total
106200,459,42,15,12,0,0,0,0,723,2018,106200,Total
106300,462,102,18,0,0,0,0,0,807,2018,106300,Total
106400,198,9,12,0,0,0,0,0,324,2018,106400,Total
106500,813,105,39,12,0,6,0,0,1218,2018,106500,Total
106600,672,78,24,0,0,12,0,6,1173,2018,106600,Total
106700,327,60,0,0,0,0,0,0,558,2018,106700,Total
106800,420,57,33,0,0,9,0,0,741,2018,106800,Total
106900,639,51,27,6,0,6,0,9,1074,2018,106900,Total
107000,555,54,27,0,0,9,0,0,972,2018,107000,Total
107100,108,27,0,0,0,0,0,0,300,2018,107100,Total
107200,465,78,27,0,0,12,0,0,837,2018,107200,Total
107300,594,57,30,9,0,12,0,6,894,2018,107300,Total
107400,300,21,27,0,0,0,0,0,486,2018,107400,Total
107500,498,45,30,0,0,0,0,0,795,2018,107500,Total
107600,246,30,6,0,0,0,0,0,402,2018,107600,Total
107700,273,63,12,0,0,0,0,0,510,2018,107700,Total
107800,543,81,6,0,0,0,0,9,996,2018,107800,Total
108000,309,48,6,0,0,0,0,0,588,2018,108000,Total
108100,330,36,12,0,0,0,0,0,513,2018,108100,Total
