Area of residence,Area of workplace,All categories: Sex,Male,Female
1,1,54684,26688,26911
1,2,210,101,96
2,1,54,26,24
2,2,549051,261100,265724
2,3,165,73,75
2,9,66,31,31
2,18,6,2,3
3,2,2724,1341,1212
3,3,140481,68197,69170
3,4,444,213,203
3,8,69,33,32
4,3,471,218,219
4,4,99591,48058,49397
5,5,16734,8175,8191
6,5,9,4,4
6,6,53694,25894,26217
6,8,9,4,4
6,9,6,2,3
7,7,42162,20619,20689
7,8,30,14,13
8,3,15,7,6
8,6,75,34,37
8,7,48,20,22
8,8,76335,36636,37966
8,9,360,167,161
9,8,105,43,49
9,9,185091,87608,92807
12,12,11748,5991,5617
13,13,217686,105135,105242
13,14,45,19,20
14,13,48,23,20
14,14,89091,43655,43776
14,15,114,56,51
15,1,12,6,5
15,14,36,17,15
15,15,38901,19158,19007
16,14,42,18,19
16,16,15474,7706,7498
16,17,2778,1318,1321
17,14,6,2,3
17,16,1425,660,696
17,17,16542,8004,8213
18,17,6,3,2
18,18,18966,9642,8938
99,99,249,133,115
