oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
100100,83,0,1,0,1,0,19,22,3,0,0,2,0,33,2,52,68,6,4,183,0,6,0,7,0,15,12,9,0,0,1,0,36,1,17,15,6,4
100200,83,0,14,0,18,9,58,2,10,0,0,15,2,53,0,47,51,0,8,183,0,48,0,107,19,46,1,31,0,0,13,1,58,0,15,11,0,8
100400,21,0,0,0,2,0,2,63,0,0,0,0,4,0,0,15,0,0,10,48,0,3,0,14,0,1,34,0,0,0,0,3,0,0,5,0,0,10
100500,41,4,2,0,16,8,0,0,5,0,0,9,6,16,0,73,39,2,0,91,24,9,0,95,16,0,0,15,0,0,7,5,18,0,24,9,2,0
100600,13,0,0,0,1,0,2,13,0,0,0,4,2,0,0,0,0,4,0,28,0,0,0,10,0,1,7,0,0,0,3,1,0,0,0,0,4,0
100700,13,0,82,23,44,9,422,155,12,13,40,26,50,101,52,190,159,18,165,28,0,281,81,263,18,334,83,36,14,22,22,40,109,46,62,36,16,170
100800,37,0,2,0,12,0,16,27,5,0,0,0,58,20,59,221,614,13,10,82,0,9,0,71,0,13,14,15,0,0,0,47,21,52,72,142,12,10
100900,13,4,0,0,9,0,2,0,2,0,0,0,6,0,26,95,0,0,0,28,21,0,0,53,0,1,0,6,0,0,0,5,0,23,31,0,0,0
101000,8,0,0,0,3,0,7,0,0,0,0,0,2,0,0,0,0,2,27,19,0,3,0,17,0,5,0,0,0,0,0,1,0,0,0,0,2,28
101100,5,0,2,0,17,2,101,109,22,0,0,13,4,2,2,105,73,0,10,11,0,9,3,101,5,80,58,68,0,0,11,3,2,1,34,17,0,10
101200,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,3,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0
101300,1,0,0,0,3,0,16,0,3,0,0,0,0,8,0,0,0,0,0,2,0,0,0,17,0,13,0,9,0,0,0,0,8,0,0,0,0,0
101400,13,0,0,0,1,0,0,2,3,0,0,2,6,2,0,22,0,0,2,28,0,0,0,7,0,0,1,9,0,0,1,5,2,0,7,0,0,2
101500,5,0,0,0,2,1,0,10,0,0,0,0,2,2,0,26,0,2,4,11,0,0,3,14,2,0,5,0,0,0,0,1,2,0,8,0,2,4
101600,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
101700,7,0,1,0,1,0,2,8,1,0,0,4,0,0,0,36,0,0,0,17,0,6,0,10,0,1,4,3,0,0,3,0,0,0,12,0,0,0
101800,10,0,0,0,1,14,0,68,3,0,0,4,0,2,0,36,0,8,2,24,0,3,0,10,28,0,36,9,0,0,3,0,2,0,12,0,8,2
101900,9,0,0,0,1,0,11,5,5,0,0,0,0,0,2,47,113,0,12,20,0,0,0,7,0,9,2,15,0,0,0,0,0,1,15,26,0,12
102000,17,0,0,0,1,0,0,8,0,8,0,0,6,0,0,19,0,2,0,38,0,3,0,7,0,0,4,0,8,0,0,5,0,0,6,0,2,0
102100,6,0,0,0,1,0,11,13,4,0,0,0,0,4,2,58,216,2,4,14,0,0,0,10,0,9,7,12,0,0,0,0,4,1,19,50,2,4
