latitude,longitude,beds,code,area,super_area,icu_beds
-35.11918577731868,173.26092600714207,32,F04054-H,100800,1,3
-45.85878697233986,170.47306415370363,90,F04067-F,350400,14,9
-40.33713046064042,175.61668299275837,11,F0B082-C,229800,8,1
-40.2119060363481,176.09815377472458,11,F0C087-G,233300,8,1
-36.77988379468566,174.75651109250455,35,F3K618-K,125500,2,3
-38.13137941903935,176.24776105481027,233,F05077-C,199800,4,23
-40.3389694789954,175.61962090614725,354,F04084-F,229800,8,35
-36.859481227748574,174.7703946258192,1124,F03067-A,136100,2,112
-36.87276540570406,174.71229860195726,40,F2U068-G,132200,2,4
-36.89460648541124,174.77979019465485,31,F03026-J,141500,2,3
-37.70762543760576,176.1480526166752,360,F05051-G,194400,4,36
-37.964863874045115,176.97709158009425,96,F03070-A,202800,4,9
-43.894475046279524,171.74666484478198,54,F03023-C,338100,13,5
-43.4799905102065,172.68456788705268,229,F04030-E,324000,13,22
-37.2175097878973,174.90425017578377,32,F03036-A,166100,2,3
-39.99497007374279,176.5492381778271,8,F0M094-E,215800,6,0
-39.04181693441968,177.41499963635127,12,F03085-C,207800,6,1
-44.39430766344715,171.2425936979789,14,F0A093-C,340800,13,1
-43.53433456829653,172.6256621499806,833,F04028-G,324900,13,83
-43.4872287426784,172.1176650459627,9,F04041-K,334000,13,0
-43.75734901220664,172.30244635766027,10,F04044-E,336200,13,1
-43.54789666959904,172.5907412658424,195,F04032-J,325000,13,19
-42.40470732327453,173.68161275294847,21,F04039-A,308900,13,2
-43.635151818593116,172.48904296630343,7,F04042-A,336100,13,0
-43.30301390979161,172.1930146835621,15,F04037-H,313200,13,1
-38.69920156994534,176.09937885172977,36,F05095-E,189100,3,3
-40.63311934135177,175.28614800842354,28,F04086-K,235800,8,2
-45.85162527330339,170.4575111701157,46,F2K021-B,350400,14,4
-36.88013113538415,174.7727295322784,10,F0G079-F,138700,2,1
-43.57163736617974,172.62151980987784,53,F04029-J,330300,13,5
-42.96797564052427,172.68774249681556,10,F04040-H,312400,13,1
-40.90991904382979,175.00790280055378,2,F06040-G,237800,9,0
-37.6962609121925,176.09095597952165,12,F0E004-J,193000,4,1
-35.38693514561802,174.06979218185174,20,F04056-A,104600,1,2
-35.928965861878346,173.8742342256048,19,F04055-K,109300,1,1
-35.73636220252109,174.30334520557062,249,F04053-F,107400,1,24
-46.13475979644914,168.3254294316795,6,F0C033-F,358600,15,0
-41.30907706229913,174.78027423755498,484,F06033-K,252900,9,48
-37.245666551931784,174.73812327981088,18,F03047-F,164500,2,1
