super_area,lat,lon
1,-36.8928594,174.7743337
1,-36.8683617,174.7775985
1,-36.8661991,174.7783286
1,-36.786739,174.7720478
1,-37.1358345,175.5409776
1,-36.9902693,174.8806638
1,-36.8198324,174.6127328
1,-37.7854478,175.2804709
1,-36.8516331,174.7637552
1,-36.8179699,174.745162
1,-36.3520003,174.7176816
1,-37.9509723,176.9974914
1,-37.7867728,175.2797369
1,-37.7481107,175.2329873
1,-37.7496907,175.2779747
1,-35.7252083,174.3215229
1,-36.9148262,174.8420883
1,-37.6871766,176.1684209
1,-37.6847515,176.1694815
1,-36.9071129,174.6872341
1,-36.8515466,174.7652516
1,-36.8944993,174.9303527
1,-35.1170464,173.2684363
1,-36.8396323,174.754676
1,-37.1984966,174.9041896
1,-39.0564544,174.0777909
1,-38.6864474,176.0711818
1,-36.8485766,174.8322843
1,-35.7256501,174.3217833
1,-38.2166967,175.8703847
1,-35.2293104,173.9491216
1,-34.9642889,173.2073326
1,-37.736868,176.1050695
1,-37.7177103,176.3422736
1,-36.7810912,175.0070476
1,-36.8628465,174.8091382
1,-37.7841439,176.3256928
1,-38.0094631,175.3231563
1,-36.8726269,174.7760952
1,-36.8827956,174.7324557
1,-36.9646014,174.9136267
1,-36.9340626,174.9142776
14,-45.8741805,170.5027365
14,-45.8755039,170.5023269
14,-45.8729493,170.5028562
14,-42.7178517,170.9626453
14,-45.0324696,168.66088
14,-44.9386193,168.8312055
14,-44.3941156,171.2496932
14,-43.5074957,172.6640598
14,-43.4940238,172.6085699
14,-45.4144917,167.7156821
14,-42.4487737,171.2076061
14,-45.5424372,169.3152276
14,-46.4123021,168.3476911
14,-43.5312962,172.5998132
14,-44.6974674,169.1356133
14,-42.5357388,171.1817428
14,-46.8978111,168.1269002
14,-43.5461105,172.6354577
14,-43.5347371,172.6361166
14,-45.0952846,170.9724247
14,-43.5316565,172.6278303
14,-44.732864,171.0462007
14,-43.8100858,172.9632278
3,-36.8928594,174.7743337
3,-36.8683617,174.7775985
3,-41.3058382,174.7634702
3,-36.8661991,174.7783286
3,-36.786739,174.7720478
3,-37.1358345,175.5409776
3,-36.9902693,174.8806638
3,-36.8198324,174.6127328
3,-40.2267748,175.5650703
3,-41.1368424,174.8411773
3,-41.3370854,174.7725119
3,-37.7854478,175.2804709
3,-36.8516331,174.7637552
3,-36.8179699,174.745162
3,-36.3520003,174.7176816
3,-41.1236377,175.0717209
3,-41.3158392,174.8162766
3,-39.6424465,176.8439986
3,-39.6707611,176.8781431
3,-37.9509723,176.9974914
3,-39.9342076,175.0545286
3,-40.3546291,175.6131859
3,-41.2196045,175.4575936
3,-41.2709865,173.2842196
3,-41.5153341,173.9575902
3,-37.7867728,175.2797369
3,-37.7481107,175.2329873
3,-37.7496907,175.2779747
3,-35.7252083,174.3215229
3,-36.9148262,174.8420883
3,-40.7218508,175.6400808
3,-39.4798008,176.8991062
3,-37.6871766,176.1684209
3,-37.6847515,176.1694815
3,-36.9071129,174.6872341
3,-36.8515466,174.7652516
3,-36.8944993,174.9303527
3,-35.1170464,173.2684363
3,-40.8594062,172.8062614
3,-36.8396323,174.754676
3,-41.1301071,175.0551079
3,-37.1984966,174.9041896
3,-39.0564544,174.0777909
3,-38.6864474,176.0711818
3,-41.1234267,173.0135744
3,-41.1122679,173.0120105
3,-36.8485766,174.8322843
3,-35.7256501,174.3217833
3,-38.2166967,175.8703847
3,-35.2293104,173.9491216
3,-34.9642889,173.2073326
3,-40.9578872,175.6493703
3,-37.736868,176.1050695
3,-37.7177103,176.3422736
3,-38.6663771,178.0266243
3,-36.7810912,175.0070476
3,-36.8628465,174.8091382
3,-37.7841439,176.3256928
3,-38.0094631,175.3231563
3,-36.8726269,174.7760952
3,-36.8827956,174.7324557
3,-36.9646014,174.9136267
3,-36.9340626,174.9142776
2,-36.8928594,174.7743337
2,-36.8683617,174.7775985
2,-41.3058382,174.7634702
2,-36.8661991,174.7783286
2,-36.786739,174.7720478
2,-37.1358345,175.5409776
2,-36.9902693,174.8806638
2,-36.8198324,174.6127328
2,-40.2267748,175.5650703
2,-41.1368424,174.8411773
2,-41.3370854,174.7725119
2,-37.7854478,175.2804709
2,-36.8516331,174.7637552
2,-36.8179699,174.745162
2,-36.3520003,174.7176816
2,-41.1236377,175.0717209
2,-41.3158392,174.8162766
2,-39.6424465,176.8439986
2,-39.6707611,176.8781431
2,-37.9509723,176.9974914
2,-39.9342076,175.0545286
2,-40.3546291,175.6131859
2,-41.2196045,175.4575936
2,-37.7867728,175.2797369
2,-37.7481107,175.2329873
2,-37.7496907,175.2779747
2,-35.7252083,174.3215229
2,-36.9148262,174.8420883
2,-40.7218508,175.6400808
2,-39.4798008,176.8991062
2,-37.6871766,176.1684209
2,-37.6847515,176.1694815
2,-36.9071129,174.6872341
2,-36.8515466,174.7652516
2,-36.8944993,174.9303527
2,-35.1170464,173.2684363
2,-40.8594062,172.8062614
2,-36.8396323,174.754676
2,-41.1301071,175.0551079
2,-37.1984966,174.9041896
2,-39.0564544,174.0777909
2,-38.6864474,176.0711818
2,-41.1234267,173.0135744
2,-41.1122679,173.0120105
2,-36.8485766,174.8322843
2,-35.7256501,174.3217833
2,-38.2166967,175.8703847
2,-35.2293104,173.9491216
2,-34.9642889,173.2073326
2,-40.9578872,175.6493703
2,-37.736868,176.1050695
2,-37.7177103,176.3422736
2,-38.6663771,178.0266243
2,-36.7810912,175.0070476
2,-36.8628465,174.8091382
2,-37.7841439,176.3256928
2,-38.0094631,175.3231563
2,-36.8726269,174.7760952
2,-36.8827956,174.7324557
2,-36.9646014,174.9136267
2,-36.9340626,174.9142776
4,-36.8928594,174.7743337
4,-36.8683617,174.7775985
4,-41.3058382,174.7634702
4,-36.8661991,174.7783286
4,-36.786739,174.7720478
4,-37.1358345,175.5409776
4,-36.9902693,174.8806638
4,-36.8198324,174.6127328
4,-40.2267748,175.5650703
4,-41.1368424,174.8411773
4,-41.3370854,174.7725119
4,-37.7854478,175.2804709
4,-36.8516331,174.7637552
4,-36.8179699,174.745162
4,-36.3520003,174.7176816
4,-41.1236377,175.0717209
4,-41.3158392,174.8162766
4,-39.6424465,176.8439986
4,-39.6707611,176.8781431
4,-37.9509723,176.9974914
4,-39.9342076,175.0545286
4,-40.3546291,175.6131859
4,-41.2196045,175.4575936
4,-41.2709865,173.2842196
4,-41.5153341,173.9575902
4,-37.7867728,175.2797369
4,-37.7481107,175.2329873
4,-37.7496907,175.2779747
4,-35.7252083,174.3215229
4,-36.9148262,174.8420883
4,-40.7218508,175.6400808
4,-39.4798008,176.8991062
4,-37.6871766,176.1684209
4,-37.6847515,176.1694815
4,-36.9071129,174.6872341
4,-36.8515466,174.7652516
4,-36.8944993,174.9303527
4,-35.1170464,173.2684363
4,-40.8594062,172.8062614
4,-36.8396323,174.754676
4,-41.1301071,175.0551079
4,-37.1984966,174.9041896
4,-39.0564544,174.0777909
4,-38.6864474,176.0711818
4,-41.1234267,173.0135744
4,-41.1122679,173.0120105
4,-36.8485766,174.8322843
4,-35.7256501,174.3217833
4,-38.2166967,175.8703847
4,-35.2293104,173.9491216
4,-34.9642889,173.2073326
4,-40.9578872,175.6493703
4,-37.736868,176.1050695
4,-37.7177103,176.3422736
4,-38.6663771,178.0266243
4,-36.7810912,175.0070476
4,-36.8628465,174.8091382
4,-37.7841439,176.3256928
4,-38.0094631,175.3231563
4,-36.8726269,174.7760952
4,-36.8827956,174.7324557
4,-36.9646014,174.9136267
4,-36.9340626,174.9142776
8,-36.8928594,174.7743337
8,-36.8683617,174.7775985
8,-41.3058382,174.7634702
8,-36.8661991,174.7783286
8,-36.786739,174.7720478
8,-37.1358345,175.5409776
8,-36.9902693,174.8806638
8,-36.8198324,174.6127328
8,-40.2267748,175.5650703
8,-41.1368424,174.8411773
8,-41.3370854,174.7725119
8,-37.7854478,175.2804709
8,-36.8516331,174.7637552
8,-36.8179699,174.745162
8,-36.3520003,174.7176816
8,-43.5074957,172.6640598
8,-43.4940238,172.6085699
8,-41.1236377,175.0717209
8,-41.3158392,174.8162766
8,-39.6424465,176.8439986
8,-39.6707611,176.8781431
8,-37.9509723,176.9974914
8,-39.9342076,175.0545286
8,-40.3546291,175.6131859
8,-41.2196045,175.4575936
8,-41.2709865,173.2842196
8,-41.5153341,173.9575902
8,-42.4487737,171.2076061
