,area,max_students,sector,latitude,longitude,age_min,age_max
0,133400,0,secondary,-36.85113761118825,174.76064264951015,14,19
1,167100,1087,secondary,-36.84174239503966,175.69673829553182,5,19
3,358500,28,primary,-46.207407675975155,168.54188297313416,5,13
8,101100,296,secondary,-34.994245027266544,173.4637659103762,5,19
9,106600,1728,secondary,-35.71335777097054,174.31888144407174,14,19
10,125500,2952,secondary,-36.776676102961346,174.74737170318545,14,19
11,352900,740,secondary,-45.87402677484542,170.49716128091046,11,19
12,226700,277,secondary,-40.06887625180178,175.385365226845,14,19
13,301100,664,secondary,-41.113748902275084,173.00468788494484,14,19
14,301800,187,secondary,-41.79947220545817,172.32716219104566,5,19
15,145000,45,primary,-36.91890826100224,174.7838880520376,5,13
16,219200,22,primary,-38.69693110120176,174.61767795711287,5,13
17,150200,87,primary,-36.96694985530174,174.80216056008382,5,13
18,126800,46,secondary,-36.788885769253454,174.77048459585967,5,19
19,100900,85,primary,-35.132179587119666,173.3512131201784,5,13
20,109400,130,primary,-36.12084722898212,174.0109349524231,5,11
21,189100,115,secondary,-38.69700454924549,176.10165177183475,5,19
22,158500,489,primary,-36.997324238433364,174.8960092352379,5,11
23,113500,348,primary,-36.667953483287455,174.63929097437494,5,11
24,185500,63,primary,-38.18802842279402,175.226301277628,5,13
25,159600,476,primary,-37.013775487722505,174.8985454675974,5,11
26,147500,217,primary,-36.95441651727767,174.78635911855085,5,11
27,170500,405,primary,-37.24322868697807,175.0147515954188,5,13
28,148600,187,secondary,-36.95549287730457,174.80222389338354,8,15
29,148900,556,primary,-36.96722640564329,174.79222288784683,5,13
30,130300,512,primary,-36.858884799762315,174.72505250842215,5,11
31,120700,723,primary,-36.81554794955964,174.64000000116366,5,13
32,204400,90,primary,-38.01509152836288,177.29349932166932,5,13
33,171700,98,primary,-37.55481742357294,175.31551350898258,5,13
34,175400,216,primary,-37.76938565059503,175.20673702776807,5,13
35,173500,94,primary,-37.50218672768017,175.4897095824508,5,11
